id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
0	Filesystem	File									"index.php"	
1	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	9	"/cpg/index.php"	
2	Artificial	CFG_FUNC_ENTRY					1				"/cpg/index.php"	
3	Artificial	CFG_FUNC_EXIT					1				"/cpg/index.php"	
4	AST	AST_STMT_LIST		1		0	1		""			
5	AST	AST_ASSIGN		2		0	1		""			
6	AST	AST_VAR		2		0	1		""			
7	AST	string		2	"arr"	0	1		""			
8	AST	AST_DIM		2		1	1		""			
9	AST	AST_VAR		2		0	1		""			
10	AST	string		2	"_GET"	0	1		""			
11	AST	integer		2	1	1	1		""			
12	AST	AST_FOREACH		4		1	1		""			
13	AST	AST_VAR		4		0	1		""			
14	AST	string		4	"arr"	0	1		""			
15	AST	AST_VAR		4		1	1		""			
16	AST	string		4	"v"	0	1		""			
17	AST	AST_VAR		4		2	1		""			
18	AST	string		4	"k"	0	1		""			
19	AST	AST_STMT_LIST		5		3	1		""			
20	AST	AST_ECHO		6		0	1		""			
21	AST	AST_VAR		6		0	1		""			
22	AST	string		6	"k"	0	1		""			
23	AST	AST_ECHO		7		1	1		""			
24	AST	AST_VAR		7		0	1		""			
25	AST	string		7	"v"	0	1		""			
26	AST	NULL		1		2	1		""			
