start	end	type
2	3	ENTRY
2	4	EXIT
6	7	ENTRY
6	8	EXIT
6	9	PARENT_OF
6	10	PARENT_OF
13	14	PARENT_OF
12	13	PARENT_OF
16	17	PARENT_OF
15	16	PARENT_OF
15	18	PARENT_OF
12	15	PARENT_OF
11	12	PARENT_OF
22	23	PARENT_OF
21	22	PARENT_OF
21	24	PARENT_OF
20	21	PARENT_OF
27	28	PARENT_OF
26	27	PARENT_OF
29	30	PARENT_OF
26	29	PARENT_OF
25	26	PARENT_OF
20	25	PARENT_OF
19	20	PARENT_OF
31	32	PARENT_OF
35	36	PARENT_OF
34	35	PARENT_OF
38	39	PARENT_OF
37	38	PARENT_OF
37	40	PARENT_OF
34	37	PARENT_OF
33	34	PARENT_OF
31	33	PARENT_OF
19	31	PARENT_OF
11	19	PARENT_OF
42	43	PARENT_OF
41	42	PARENT_OF
11	41	PARENT_OF
6	11	PARENT_OF
6	44	PARENT_OF
5	6	PARENT_OF
46	47	PARENT_OF
45	46	PARENT_OF
45	48	PARENT_OF
5	45	PARENT_OF
5	49	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
0	1	DIRECTORY_OF
